age,Gt,Gt_smoothed
16,13517.00412126739,13592.260247023125
17,13667.516372778862,13702.410088848037
18,13922.709772497858,13939.090507433146
19,14227.04537702272,13921.172236320837
20,13613.761559441933,15106.075533441612
21,17477.419663860186,15452.95737451122
22,15267.690900231535,14999.448230061507
23,12253.2341260928,13543.99271810437
24,13111.053127988775,12751.054865822802
25,12888.87734338683,12730.717391980232
26,12192.221704565092,13161.242254374896
27,14402.627715172766,13267.479682623367
28,13207.589628132246,13421.79240497171
29,12655.159871610114,13007.911730659536
30,13160.985692236249,13026.681601765364
31,13263.899241449726,12982.09815968251
32,12521.40954536155,12216.253959265681
33,10863.45309098577,12605.316906648504
34,14431.088083598195,12943.163802745968
35,13534.95023365394,15262.506306736119
36,17821.480602956224,14892.554249988318
37,13321.231913354795,15985.679183158152
38,16814.32503316344,15410.566405466343
39,16096.142269880793,15440.984178505942
40,13412.485232473593,14061.201610454527
41,12674.977329009198,12968.856502149683
42,12819.106944966261,12502.794557051124
43,12014.299397177916,12973.609125876348
44,14087.42103548487,12927.340802929722
45,12680.301976126384,13320.87226400399
46,13194.893780400715,12277.545148402269
47,10957.439688679704,13155.816776823347
48,15315.116861389622,13432.833740068674
49,14025.944670136696,13840.440392359907
50,12180.259645553404,13895.338192317082
51,15479.810261261147,13156.899687002666
52,11810.629154193446,14093.127674839596
53,14988.943609064194,13035.184272028937
54,12305.980052829169,12883.176689623064
55,11354.606406975834,12046.83845181705
56,12479.928895646148,12691.290070940891
57,14239.334910200687,13050.369848544971
58,12431.845739788081,13385.879972161501
59,13486.459266495734,13511.469140679656
60,14616.102415755153,14259.921282717973
61,14677.202165903032,13889.080136496743
62,12373.935827832045,13241.432526706185
63,12673.15958638348,12736.189049355547
64,13161.471733851116,12572.38631920753
65,11882.527637387993,12521.999685619554
